split,model,probability_range,count,mean_predicted_probability,observed_accuracy
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,0.3-0.4,43,0.3816987778971603,0.3488372093023256
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,0.4-0.5,221,0.4497073309051058,0.3891402714932127
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,0.5-0.6,172,0.5527790471541992,0.4418604651162791
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,0.6-0.7,168,0.6460285948862247,0.6011904761904762
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,0.7-0.8,100,0.7450645033161654,0.57
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,0.8-0.9,52,0.8435103251791222,0.7884615384615384
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,0.9-1.0,4,0.9340789191533287,1.0
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.0-0.1,0,,
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.1-0.2,0,,
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.2-0.3,0,,
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.3-0.4,122,0.37782995769829186,0.4426229508196721
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.4-0.5,224,0.44206626189170567,0.40625
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.5-0.6,176,0.5564948850500725,0.5284090909090909
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.6-0.7,155,0.6442066426141057,0.567741935483871
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.7-0.8,76,0.7362179118243688,0.7368421052631579
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.8-0.9,7,0.834419505771763,0.8571428571428571
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,0.9-1.0,0,,
TRAINING,bookmaker_probability,0.0-0.1,0,,
TRAINING,bookmaker_probability,0.1-0.2,0,,
TRAINING,bookmaker_probability,0.2-0.3,0,,
TRAINING,bookmaker_probability,0.3-0.4,688,0.3790454219377138,0.375
TRAINING,bookmaker_probability,0.4-0.5,1277,0.44974726303292123,0.44400939702427566
TRAINING,bookmaker_probability,0.5-0.6,871,0.5475194228495902,0.563719862227325
TRAINING,bookmaker_probability,0.6-0.7,689,0.6470914545354737,0.6777939042089985
TRAINING,bookmaker_probability,0.7-0.8,472,0.7491836511250807,0.7521186440677966
TRAINING,bookmaker_probability,0.8-0.9,181,0.8336835686697857,0.861878453038674
TRAINING,bookmaker_probability,0.9-1.0,2,0.912844626344574,1.0
TRAINING,gradient_boosting,0.0-0.1,0,,
TRAINING,gradient_boosting,0.1-0.2,0,,
TRAINING,gradient_boosting,0.2-0.3,0,,
TRAINING,gradient_boosting,0.3-0.4,653,0.3728845925726249,0.41347626339969373
TRAINING,gradient_boosting,0.4-0.5,1324,0.4452336556447966,0.4637462235649547
