date,home_team,away_team,market,selection,odds,market_implied_probability,market_normalized_probability,model_probability,model_based_theoretical_ev,classification,market_overround
2026-09-25,Arsenal,Chelsea,1X2,Home,2.1,0.47619047619047616,0.4397736459175424,0.4750296929760435,-0.0024376447503084986,MODEL PROBABILITY ABOVE MARKET IMPLIED PROBABILITY,1.0828081232492996
2026-09-25,Arsenal,Chelsea,1X2,Draw,3.4,0.29411764705882354,0.2716248989490704,0.2169262580955393,-0.2624507224751663,MODEL PROBABILITY BELOW MARKET IMPLIED PROBABILITY,1.0828081232492996
2026-09-25,Arsenal,Chelsea,1X2,Away,3.2,0.3125,0.28860145513338725,0.3080440489284171,-0.014259043429065255,MODEL PROBABILITY ABOVE MARKET IMPLIED PROBABILITY,1.0828081232492996
