split,model,rows,log_loss,brier_score,accuracy
OUT-OF-SAMPLE,bookmaker_probability,760,0.9946525535155578,0.5950880051900843,0.5144736842105263
OUT-OF-SAMPLE,gradient_boosting,760,1.0478817687159399,0.6280172123819988,0.4881578947368421
OUT-OF-SAMPLE,historical_frequency,760,1.0817650010696909,0.655410876582496,0.41710526315789476
OUT-OF-SAMPLE,logistic_regression,760,1.03982284088903,0.6174946891887462,0.5039473684210526
OUT-OF-SAMPLE,random_forest,760,1.0040986506339205,0.6012420645340429,0.5157894736842106
OUT-OF-SAMPLE_REFIT,gradient_boosting_train_validation,760,1.0361651425750211,0.6209290421439714,0.4855263157894737
OUT-OF-SAMPLE_REFIT,logistic_regression_train_validation,760,1.0327909979722487,0.6164308175446536,0.5
OUT-OF-SAMPLE_REFIT,random_forest_train_validation,760,1.006562394998007,0.6031435423097818,0.5105263157894737
TRAINING,bookmaker_probability,4180,0.9588260824469854,0.5671959556187084,0.5492822966507177
TRAINING,gradient_boosting,4180,0.912373954395059,0.5381170174387288,0.5772727272727273
TRAINING,historical_frequency,4180,1.0658168651566702,0.6445821982097482,0.4461722488038278
TRAINING,logistic_regression,4180,0.9425203946422015,0.557874407674719,0.5547846889952153
TRAINING,random_forest,4180,0.8493441000113394,0.4981486319313532,0.6090909090909091
VALIDATION,bookmaker_probability,760,0.9376853732641109,0.5533109498148954,0.5776315789473684
VALIDATION,gradient_boosting,760,0.9553480387282578,0.561501556509481,0.5578947368421052
VALIDATION,historical_frequency,760,1.0522742713369786,0.635279927199469,0.4723684210526316
VALIDATION,logistic_regression,760,0.94554689567751,0.5575562180717807,0.5684210526315789
VALIDATION,random_forest,760,0.9407966050872765,0.5548820902309984,0.5605263157894737
