split,model,strategy,match_id,season,selection,model_probability,market_probability,estimated_edge,odds,actual_result,won,profit
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-10|Bolton|Man United,2011/12,A,0.8004922906691601,0.6818181818181818,0.11867410885097829,1.4,A,True,0.3999999999999999
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-10|Everton|Aston Villa,2011/12,H,0.6296450456342491,0.47291361639824303,0.15673142923600603,2.0,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-10|Man City|Wigan,2011/12,H,0.867307819763287,0.8090834919771553,0.058224327786131624,1.17,H,True,0.16999999999999993
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-10|Stoke|Liverpool,2011/12,H,0.4804424506051016,0.2916053019145803,0.18883714869052132,3.25,H,True,2.25
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-10|Wolves|Tottenham,2011/12,A,0.6143415529382104,0.393939393939394,0.22040215899881638,2.4,A,True,1.4
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-11|Norwich|West Brom,2011/12,A,0.42838980197385707,0.32914725541827017,0.0992425465555869,2.88,A,True,1.88
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-12|QPR|Newcastle,2011/12,D,0.5318920790468609,0.2909090909090909,0.24098298813776997,3.25,D,True,2.25
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-17|Aston Villa|Newcastle,2011/12,H,0.6033200529240882,0.4959022086400889,0.10741784428399931,1.91,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-17|Blackburn|Arsenal,2011/12,A,0.7231313732162831,0.4959022086400889,0.2272291645761942,1.91,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-17|Bolton|Norwich,2011/12,A,0.3477466228920596,0.20689655172413796,0.14085007116792164,4.6,A,True,3.5999999999999996
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-17|Everton|Wigan,2011/12,H,0.7131488139395749,0.6292134831460674,0.08393533079350746,1.5,H,True,0.5
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-17|Swansea|West Brom,2011/12,D,0.3669386566582155,0.2958259197905802,0.0711127368676353,3.2,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-17|Wolves|QPR,2011/12,H,0.5557538950128544,0.4959022086400889,0.059851686372765556,1.91,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-18|Man United|Chelsea,2011/12,H,0.6709214050107993,0.5182625863770978,0.15265881863370157,1.83,H,True,0.8300000000000001
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-18|Sunderland|Stoke,2011/12,H,0.518076103361406,0.39616613418530355,0.12190996917610242,2.4,H,True,1.4
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-18|Tottenham|Liverpool,2011/12,D,0.5235574961197418,0.2788971367974549,0.24466035932228686,3.4,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-24|Chelsea|Swansea,2011/12,D,0.20172018447178447,0.14598540145985403,0.05573478301193044,6.5,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-24|Liverpool|Wolves,2011/12,H,0.7969166916309286,0.6953028430160691,0.10161384861485945,1.36,H,True,0.3600000000000001
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-24|Man City|Everton,2011/12,H,0.8275403598833392,0.6559254456657416,0.17161491421759756,1.44,H,True,0.43999999999999995
