season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_odds,draw_odds,away_odds,source,match_date,match_id
2011/12,20/08/11,Sunderland,Newcastle,0,1,A,0,0,D,15,12,5,10,7,6,17,7,3,3,1,0,2.2,3.25,3.4,Football-Data.co.uk,2011-08-20,2011/12|2011-08-20|Sunderland|Newcastle
2011/12,20/08/11,Swansea,Wigan,0,0,D,0,0,D,12,10,6,4,7,7,8,18,0,3,0,0,2.1,3.3,3.6,Football-Data.co.uk,2011-08-20,2011/12|2011-08-20|Swansea|Wigan
2011/12,21/08/11,Bolton,Man City,2,3,A,1,2,A,6,17,4,9,7,8,19,14,2,0,0,0,4.75,3.5,1.8,Football-Data.co.uk,2011-08-21,2011/12|2011-08-21|Bolton|Man City
2011/12,21/08/11,Norwich,Stoke,1,1,D,1,0,H,9,15,7,5,3,6,13,12,0,2,1,0,2.6,3.3,2.75,Football-Data.co.uk,2011-08-21,2011/12|2011-08-21|Norwich|Stoke
2011/12,21/08/11,Wolves,Fulham,2,0,H,2,0,H,17,8,7,4,7,8,7,10,2,2,0,0,2.38,3.25,3.1,Football-Data.co.uk,2011-08-21,2011/12|2011-08-21|Wolves|Fulham
2011/12,22/08/11,Man United,Tottenham,3,0,H,0,0,D,27,20,21,12,11,3,12,9,1,2,0,0,1.67,3.75,5.5,Football-Data.co.uk,2011-08-22,2011/12|2011-08-22|Man United|Tottenham
2011/12,27/08/11,Aston Villa,Wolves,0,0,D,0,0,D,15,3,5,2,11,8,10,9,1,3,0,0,2.1,3.25,3.75,Football-Data.co.uk,2011-08-27,2011/12|2011-08-27|Aston Villa|Wolves
2011/12,27/08/11,Blackburn,Everton,0,1,A,0,0,D,14,9,6,4,5,4,17,13,5,2,0,0,3.3,3.25,2.25,Football-Data.co.uk,2011-08-27,2011/12|2011-08-27|Blackburn|Everton
2011/12,27/08/11,Chelsea,Norwich,3,1,H,1,0,H,16,9,8,6,8,6,17,14,2,2,0,1,1.2,6.5,15.0,Football-Data.co.uk,2011-08-27,2011/12|2011-08-27|Chelsea|Norwich
2011/12,27/08/11,Liverpool,Bolton,3,1,H,1,0,H,17,7,9,4,12,6,5,7,0,2,0,0,1.4,4.5,8.5,Football-Data.co.uk,2011-08-27,2011/12|2011-08-27|Liverpool|Bolton
2011/12,27/08/11,Swansea,Sunderland,0,0,D,0,0,D,15,12,6,8,7,4,7,10,1,1,0,0,2.38,3.3,3.0,Football-Data.co.uk,2011-08-27,2011/12|2011-08-27|Swansea|Sunderland
2011/12,27/08/11,Wigan,QPR,2,0,H,1,0,H,13,19,10,9,8,7,13,8,2,0,0,0,2.25,3.3,3.25,Football-Data.co.uk,2011-08-27,2011/12|2011-08-27|Wigan|QPR
2011/12,28/08/11,Man United,Arsenal,8,2,H,3,1,H,25,19,15,13,3,5,9,7,2,3,0,1,1.5,4.33,6.5,Football-Data.co.uk,2011-08-28,2011/12|2011-08-28|Man United|Arsenal
2011/12,28/08/11,Newcastle,Fulham,2,1,H,0,0,D,13,16,9,9,6,6,19,8,2,1,0,0,2.1,3.25,3.75,Football-Data.co.uk,2011-08-28,2011/12|2011-08-28|Newcastle|Fulham
2011/12,28/08/11,Tottenham,Man City,1,5,A,0,2,A,15,22,10,12,10,5,11,9,2,4,0,0,2.88,3.3,2.5,Football-Data.co.uk,2011-08-28,2011/12|2011-08-28|Tottenham|Man City
2011/12,28/08/11,West Brom,Stoke,0,1,A,0,0,D,16,7,7,1,5,1,9,12,0,0,0,0,2.1,3.25,3.75,Football-Data.co.uk,2011-08-28,2011/12|2011-08-28|West Brom|Stoke
2011/12,10/09/11,Arsenal,Swansea,1,0,H,1,0,H,18,10,8,5,4,5,10,7,3,2,0,0,1.36,4.75,9.0,Football-Data.co.uk,2011-09-10,2011/12|2011-09-10|Arsenal|Swansea
2011/12,10/09/11,Bolton,Man United,0,5,A,0,3,A,20,13,13,9,5,7,14,1,2,0,0,0,9.0,4.5,1.4,Football-Data.co.uk,2011-09-10,2011/12|2011-09-10|Bolton|Man United
2011/12,10/09/11,Everton,Aston Villa,2,2,D,1,0,H,17,7,10,3,8,0,13,11,1,1,0,0,2.0,3.4,3.8,Football-Data.co.uk,2011-09-10,2011/12|2011-09-10|Everton|Aston Villa
2011/12,10/09/11,Man City,Wigan,3,0,H,1,0,H,23,9,10,5,8,3,6,9,0,0,0,0,1.17,7.0,17.0,Football-Data.co.uk,2011-09-10,2011/12|2011-09-10|Man City|Wigan
2011/12,10/09/11,Stoke,Liverpool,1,0,H,1,0,H,3,20,1,11,2,12,12,13,0,1,0,0,3.25,3.3,2.25,Football-Data.co.uk,2011-09-10,2011/12|2011-09-10|Stoke|Liverpool
2011/12,10/09/11,Sunderland,Chelsea,1,2,A,0,1,A,14,16,7,8,4,7,7,3,1,1,0,0,5.0,3.75,1.7,Football-Data.co.uk,2011-09-10,2011/12|2011-09-10|Sunderland|Chelsea
2011/12,10/09/11,Wolves,Tottenham,0,2,A,0,0,D,10,17,6,11,4,10,5,12,3,2,0,0,3.0,3.25,2.4,Football-Data.co.uk,2011-09-10,2011/12|2011-09-10|Wolves|Tottenham
2011/12,11/09/11,Fulham,Blackburn,1,1,D,1,1,D,13,10,8,5,11,2,7,12,3,1,0,0,1.67,3.6,5.5,Football-Data.co.uk,2011-09-11,2011/12|2011-09-11|Fulham|Blackburn
2011/12,11/09/11,Norwich,West Brom,0,1,A,0,1,A,17,14,5,9,1,3,10,11,1,2,0,0,2.5,3.25,2.88,Football-Data.co.uk,2011-09-11,2011/12|2011-09-11|Norwich|West Brom
2011/12,12/09/11,QPR,Newcastle,0,0,D,0,0,D,14,8,5,3,6,4,10,15,1,3,0,0,2.4,3.25,3.0,Football-Data.co.uk,2011-09-12,2011/12|2011-09-12|QPR|Newcastle
2011/12,17/09/11,Aston Villa,Newcastle,1,1,D,1,0,H,10,21,2,13,4,9,13,10,1,1,0,0,1.91,3.4,4.2,Football-Data.co.uk,2011-09-17,2011/12|2011-09-17|Aston Villa|Newcastle
2011/12,17/09/11,Blackburn,Arsenal,4,3,H,1,2,A,10,24,5,16,2,13,14,9,2,1,0,0,4.2,3.4,1.91,Football-Data.co.uk,2011-09-17,2011/12|2011-09-17|Blackburn|Arsenal
2011/12,17/09/11,Bolton,Norwich,1,2,A,0,2,A,7,11,7,5,6,9,8,8,3,1,1,0,1.8,3.6,4.6,Football-Data.co.uk,2011-09-17,2011/12|2011-09-17|Bolton|Norwich
2011/12,17/09/11,Everton,Wigan,3,1,H,1,1,D,17,9,10,4,4,9,14,8,2,1,0,0,1.5,4.0,7.0,Football-Data.co.uk,2011-09-17,2011/12|2011-09-17|Everton|Wigan
2011/12,17/09/11,Swansea,West Brom,3,0,H,2,0,H,7,13,5,8,2,8,4,9,1,2,0,0,2.63,3.2,2.75,Football-Data.co.uk,2011-09-17,2011/12|2011-09-17|Swansea|West Brom
2011/12,17/09/11,Wolves,QPR,0,3,A,0,2,A,13,17,6,12,4,8,15,13,2,3,0,0,1.91,3.4,4.2,Football-Data.co.uk,2011-09-17,2011/12|2011-09-17|Wolves|QPR
2011/12,18/09/11,Fulham,Man City,2,2,D,0,1,A,14,18,11,11,6,9,10,9,1,1,0,0,6.5,3.8,1.57,Football-Data.co.uk,2011-09-18,2011/12|2011-09-18|Fulham|Man City
2011/12,18/09/11,Man United,Chelsea,3,1,H,3,0,H,12,20,7,9,4,10,11,12,2,3,0,0,1.83,3.5,4.5,Football-Data.co.uk,2011-09-18,2011/12|2011-09-18|Man United|Chelsea
2011/12,18/09/11,Sunderland,Stoke,4,0,H,3,0,H,8,9,7,5,6,5,15,12,1,2,0,0,2.4,3.2,3.1,Football-Data.co.uk,2011-09-18,2011/12|2011-09-18|Sunderland|Stoke
2011/12,18/09/11,Tottenham,Liverpool,4,0,H,1,0,H,24,5,16,2,4,1,10,9,1,4,0,2,2.63,3.4,2.63,Football-Data.co.uk,2011-09-18,2011/12|2011-09-18|Tottenham|Liverpool
2011/12,24/09/11,Arsenal,Bolton,3,0,H,0,0,D,23,3,14,3,9,2,7,9,0,1,0,1,1.44,4.5,7.0,Football-Data.co.uk,2011-09-24,2011/12|2011-09-24|Arsenal|Bolton
2011/12,24/09/11,Chelsea,Swansea,4,1,H,2,0,H,15,5,7,4,1,6,15,11,3,3,1,0,1.2,6.5,15.0,Football-Data.co.uk,2011-09-24,2011/12|2011-09-24|Chelsea|Swansea
2011/12,24/09/11,Liverpool,Wolves,2,1,H,2,0,H,14,11,6,6,7,2,15,6,3,4,0,0,1.36,4.5,10.0,Football-Data.co.uk,2011-09-24,2011/12|2011-09-24|Liverpool|Wolves
